旋覆花,"['蕧', '盗庚', '盛椹', '戴椹', '飞天蕊', '金钱花', '野油花', '滴滴金', '夏菊', '金钱菊', '艾菊', '迭罗黄', '满天星', '六月菊', '黄熟花', '水葵花', '金盏花', '复花', '小黄花', '猫耳朵花', '驴耳朵花', '金沸花', '伏花', '全福花']"
杏仁,"['杏核仁', '杏子', '木落子', '苦杏仁', '杏梅仁', '杏', '甜梅。']"
枇杷叶,"['巴叶', '枇杷', '蜜枇杷叶', '炙枇杷叶', '芦桔叶']"
枳壳,['']
枸杞子,"['苟起子', '枸杞红实', '甜菜子', '西枸杞', '狗奶子', '红青椒', '枸蹄子', '枸杞果', '地骨子', '枸茄茄', '红耳坠', '血枸子', '枸地芽子', '枸杞豆', '血杞子', '津枸杞']"
柴胡,"['地熏', '茈胡', '山菜', '茹草', '柴草']"
栀子,"['木丹', '鲜支', '卮子', ' 支子', '越桃', '山栀子', '枝子', '小卮子', '黄鸡子', ' 黄荑子', '黄栀子', '黄栀', '山黄栀', '山栀']"
桂枝,['柳桂']
桃仁,"['桃核仁', '桃核人']"
桑叶,"['铁扇子', '蚕叶']"
桑枝,['桑条']
桑白皮,"['桑根白皮', '白桑皮桑桑皮', '根皮']"
桔梗,"['符蔰', '白药', '利如', '梗草', '卢茹', '房图', '荠世纪', '苦梗', '苦桔梗', '大药', '苦菜根']"
款冬花,"['冬花', '款花', '看灯花', '艾冬花', '九九花']"
沙参,"['知母', '白沙参', '苦心', '识美', '虎须', '白参', '志取', '文虎', '文希', '羊婆奶', '南沙参', '铃儿参', '泡参', '桔参', '山沙参', '沙獭子']"
没药,['末药。']
泽兰,"['虎兰', '龙枣', '水香', '小泽兰', '虎薄', '地瓜儿苗', '红梗草', '风药', '奶孩儿', '蛇王草', '蛇王菊', '捕斗蛇草', '接古草', '地环秧', '甘露秧', '矮地瓜儿苗', '野麻花']"
泽泻,"['水泻', '芒芋', '鹄泻', '泽芝', '及泻', '天鹅蛋', '天秃', '禹孙']"
浙贝母,"['土贝母', '浙贝', '象贝', '象贝母', '大贝母']"
海藻,"['落首', '海萝', '乌菜', '海带花', '海藻菜']"
牛膝,"['百倍', '牛茎', '脚斯蹬', '铁牛膝', '杜牛膝', '怀牛膝', '怀夕', '真夕', '怀膝', '土牛膝', '\n淮牛膝', '红牛膝', '牛磕膝', '牛克膝', '牛盖膝', '粘草子根', '牛胳膝盖', '野牛充膝', '\n接骨丹', '牛盖膝头']"
牛黄,"['犀黄', '各一旺']"
牡丹皮,"['牡丹根皮', '丹皮', '丹根。']"
牡蛎,"['蛎蛤', '古贲', '左顾牡蛎', '牡蛤', '蛎房', '蠔山', '蠔莆', '左壳', '蠔壳', '海蛎子壳', '海蛎子皮']"
玄参,"['重台', '正马', '玄台', '鹿肠', '鬼藏', '端', '咸', '逐马', '馥草', '黑参', '野脂麻', '元参', '山当归', '水萝卜']"
甘草,"['美草', '蜜甘', '蜜草', '蕗草', '国老', '灵通', '粉草', '甜草', '甜根子', '棒草。']"
田基黄,"['地耳草', '斑鸠窝', '雀舌草', '蛇查口', '合掌草', '跌水草', '七寸金', '一条香', '金锁匙', '红孩儿', '寸金草', '田边菊', '痧子草', '光明草', '莽壳草', '小王不留行', '细叶黄', '观音莲', '降龙草', '七层塔', '土防风', '小元宝草', '黄花仔', '禾霞气', '耳挖草', '小田基黄', '小还魂', '小蚁药', '小对叶草', '八金刚草', '蛇细草', '对叶草。']"
白及,"['甘根', '连及草', '臼根', '白给', '冰球子', '白鸟儿头', '地螺丝', '羊角七', '千年棕', '君求子', '一兜棕', '白鸡儿', '皲口药', '利知子']"
白屈菜,"['地黄连', '牛金花', '土黄连', '八步紧', '断肠草', '山西瓜', '雄黄草', '山黄连', '假黄连', '小野人血草', '黄汤子', '胡黄连', '小黄连。']"
白术,"['山蓟', '杨枹蓟', '术', '山芥', '天蓟', '山姜', '山连', '山精', '乞力伽', '冬白术']"
白芥子,['辣菜子']
白芷,"['虈', '芷', '芳香', '苻蓠', '泽芬', '晼', '白茞', '香白芷']"
百合,"['重迈', '中庭', '重箱', '摩罗', '强瞿', '百合蒜', '蒜脑薯']"
皂角刺,"['皂荚刺', '皂刺', '天丁', '皂角针', '皂针。']"
益智仁,"['益智子', '摘艼子']"
知母,"['蚳母', '连母', '野蓼', '地参', '水参', '水浚', '货母', '蝭母', '芪母', '提母', '（艹是）母', '女雷', '女理', '鹿列', '韭逢', '儿踵草', '东根', '苦心', '儿草', '水须', '昌支', '蒜瓣子草', '兔子油草', '山韭菜', '羊胡子根', '穿地龙', '虾草', '马马草', '淮知母']"
石膏,"['细石', '细理石', '软石膏', '寒水石', '白虎', '玉大石', '冰石']"
石见穿,"['紫参', '五凤花', '小丹参', '月下红', '乌沙草', '墨面风', '大发汗', '石打穿', '石大川', '山缝拿', '紫丹花', '红根参', '半枝莲', '田芹菜', '活血草']"
砂仁,"['缩沙蜜', '缩砂仁', '缩砂密']"
神曲,"['六神曲', '六曲']"
紫草,"['藐', '茈草', '紫丹', '紫芺', '地血', '紫草茸', '鸦衔草', '紫草根', ' 山紫草', '红石根', '野紫草', '野麻灯', '大紫草', '红紫草', '紫根', '紫草根子', '红条紫草']"
紫菀,"['青菀', '紫葥', '返魂草根', '夜牵牛', '紫菀茸', '关公须']"
红花,"['红蓝花', '刺红花', '草红花']"
羌活,"['羌青', '护羌使者', '胡王使者', '羌滑', '退风使者', '黑药']"
